GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ccr-mvp,com.ccr.mvp.filters,JwtAuthenticationFilter,89,16,12,0,22,2,7,2,1,2
ccr-mvp,com.ccr.mvp.model,Comment,406,3,78,0,10,1,63,1,24,1
ccr-mvp,com.ccr.mvp.model,Image,33,3,0,0,14,2,7,1,7,1
ccr-mvp,com.ccr.mvp.model,CalculatedScore,472,3,94,0,11,1,73,1,26,1
ccr-mvp,com.ccr.mvp.model,Category,294,26,62,0,5,4,44,6,13,6
ccr-mvp,com.ccr.mvp.model,Updates,192,3,38,0,4,1,31,1,12,1
ccr-mvp,com.ccr.mvp.model,ReceiverUpdates,152,3,30,0,3,1,25,1,10,1
ccr-mvp,com.ccr.mvp.model,Role,0,33,0,0,0,6,0,1,0,1
ccr-mvp,com.ccr.mvp.model,User,617,3,110,0,23,1,93,1,38,1
ccr-mvp,com.ccr.mvp.model,Answer,272,3,54,0,6,1,43,1,16,1
ccr-mvp,com.ccr.mvp.model,PreviousDataOfCompany,343,3,64,0,8,1,52,1,20,1
ccr-mvp,com.ccr.mvp.model,Recruiter,406,3,78,0,10,1,63,1,24,1
ccr-mvp,com.ccr.mvp.model,Company,312,7,62,0,6,2,49,1,18,1
ccr-mvp,com.ccr.mvp.model,Candidate,486,3,96,0,15,1,75,1,27,1
ccr-mvp,com.ccr.mvp.model,CategoryAverageScoreDTO,156,0,24,0,9,0,23,0,11,0
ccr-mvp,com.ccr.mvp.model,User.UserBuilder,126,0,0,0,1,0,16,0,16,0
ccr-mvp,com.ccr.mvp.model,Question,312,3,62,0,7,1,49,1,18,1
ccr-mvp,com.ccr.mvp.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
ccr-mvp,com.ccr.mvp.config,SeedDataConfig,26,23,1,1,9,4,1,3,0,3
ccr-mvp,com.ccr.mvp.config,SecurityConfig,0,118,0,0,0,19,0,7,0,7
ccr-mvp,com.ccr.mvp.dto,SignUpRequest.SignUpRequestBuilder,135,0,0,0,1,0,17,0,17,0
ccr-mvp,com.ccr.mvp.dto,SignUpRequest,618,0,110,0,18,0,90,0,35,0
ccr-mvp,com.ccr.mvp.dto,SignInRequest.SignInRequestBuilder,27,0,0,0,1,0,5,0,5,0
ccr-mvp,com.ccr.mvp.dto,JwtAuthenticationResponse,257,0,46,0,9,0,40,0,17,0
ccr-mvp,com.ccr.mvp.dto,JwtAuthenticationResponse.JwtAuthenticationResponseBuilder,54,0,0,0,1,0,8,0,8,0
ccr-mvp,com.ccr.mvp.dto,SignInRequest,128,0,22,0,6,0,22,0,11,0
ccr-mvp,com.ccr.mvp,CcrMvpApplication,5,3,0,0,2,1,1,1,1,1
ccr-mvp,com.ccr.mvp,ServletInitializer,12,0,0,0,2,0,2,0,2,0
ccr-mvp,com.ccr.mvp.controller,QuestionController,0,3,0,0,0,1,0,1,0,1
ccr-mvp,com.ccr.mvp.controller,ImageController,30,3,2,0,8,1,3,1,2,1
ccr-mvp,com.ccr.mvp.controller,CategoryController,52,3,2,0,11,1,8,1,7,1
ccr-mvp,com.ccr.mvp.controller,CcrAdminController,51,3,0,0,12,1,10,1,10,1
ccr-mvp,com.ccr.mvp.controller,CommentController,27,3,0,0,5,1,5,1,5,1
ccr-mvp,com.ccr.mvp.controller,HrAdminController,17,3,0,0,3,1,2,1,2,1
